code:U+1F475 U+1F3FD; desc:old woman: medium skin tone; tags:medium skin tone | old | woman
code:U+1F475 U+1F3FE; desc:old woman: medium-dark skin tone; tags:medium-dark skin tone | old | woman
code:U+1F475 U+1F3FF; desc:old woman: dark skin tone; tags:dark skin tone | old | woman</th>code:U+1F468 U+200D U+2695 U+FE0F; desc:man health worker; tags:doctor | healthcare | man | nurse | therapist
code:U+1F468 U+1F3FB U+200D U+2695 U+FE0F; desc:man health worker: light skin tone; tags:doctor | healthcare | light skin tone | man | nurse | therapist
code:U+1F468 U+1F3FC U+200D U+2695 U+FE0F; desc:man health worker: medium-light skin tone; tags:doctor | healthcare | man | medium-light skin tone | nurse | therapist
code:U+1F468 U+1F3FD U+200D U+2695 U+FE0F; desc:man health worker: medium skin tone; tags:doctor | healthcare | man | medium skin tone | nurse | therapist
code:U+1F468 U+1F3FE U+200D U+2695 U+FE0F; desc:man health worker: medium-dark skin tone; tags:doctor | healthcare | man | medium-dark skin tone | nurse | therapist
code:U+1F468 U+1F3FF U+200D U+2695 U+FE0F; desc:man health worker: dark skin tone; tags:dark skin tone | doctor | healthcare | man | nurse | therapist
code:U+1F469 U+200D U+2695 U+FE0F; desc:woman health worker; tags:doctor | healthcare | nurse | therapist | woman
code:U+1F469 U+1F3FB U+200D U+2695 U+FE0F; desc:woman health worker: light skin tone; tags:doctor | healthcare | light skin tone | nurse | therapist | woman
code:U+1F469 U+1F3FC U+200D U+2695 U+FE0F; desc:woman health worker: medium-light skin tone; tags:doctor | healthcare | medium-light skin tone | nurse | therapist | woman
code:U+1F469 U+1F3FD U+200D U+2695 U+FE0F; desc:woman health worker: medium skin tone; tags:doctor | healthcare | medium skin tone | nurse | therapist | woman
code:U+1F469 U+1F3FE U+200D U+2695 U+FE0F; desc:woman health worker: medium-dark skin tone; tags:doctor | healthcare | medium-dark skin tone | nurse | therapist | woman
code:U+1F469 U+1F3FF U+200D U+2695 U+FE0F; desc:woman health worker: dark skin tone; tags:dark skin tone | doctor | healthcare | nurse | therapist | woman
code:U+1F468 U+200D U+1F393; desc:man student; tags:graduate | man | student
code:U+1F468 U+1F3FB U+200D U+1F393; desc:man student: light skin tone; tags:graduate | light skin tone | man | student
code:U+1F468 U+1F3FC U+200D U+1F393; desc:man student: medium-light skin tone; tags:graduate | man | medium-light skin tone | student
code:U+1F468 U+1F3FD U+200D U+1F393; desc:man student: medium skin tone; tags:graduate | man | medium skin tone | student
code:U+1F468 U+1F3FE U+200D U+1F393; desc:man student: medium-dark skin tone; tags:graduate | man | medium-dark skin tone | student
code:U+1F468 U+1F3FF U+200D U+1F393; desc:man student: dark skin tone; tags:dark skin tone | graduate | man | student
code:U+1F469 U+200D U+1F393; desc:woman student; tags:graduate | student | woman
code:U+1F469 U+1F3FB U+200D U+1F393; desc:woman student: light skin tone; tags:graduate | light skin tone | student | woman
code:U+1F469 U+1F3FC U+200D U+1F393; desc:woman student: medium-light skin tone; tags:graduate | medium-light skin tone | student | woman
code:U+1F469 U+1F3FD U+200D U+1F393; desc:woman student: medium skin tone; tags:graduate | medium skin tone | student | woman
code:U+1F469 U+1F3FE U+200D U+1F393; desc:woman student: medium-dark skin tone; tags:graduate | medium-dark skin tone | student | woman
code:U+1F469 U+1F3FF U+200D U+1F393; desc:woman student: dark skin tone; tags:dark skin tone | graduate | student | woman
code:U+1F468 U+200D U+1F3EB; desc:man teacher; tags:instructor | man | professor | teacher
code:U+1F468 U+1F3FB U+200D U+1F3EB; desc:man teacher: light skin tone; tags:instructor | light skin tone | man | professor | teacher
code:U+1F468 U+1F3FC U+200D U+1F3EB; desc:man teacher: medium-light skin tone; tags:instructor | man | medium-light skin tone | professor | teacher
code:U+1F468 U+1F3FD U+200D U+1F3EB; desc:man teacher: medium skin tone; tags:instructor | man | medium skin tone | professor | teacher
code:U+1F468 U+1F3FE U+200D U+1F3EB; desc:man teacher: medium-dark skin tone; tags:instructor | man | medium-dark skin tone | professor | teacher
code:U+1F468 U+1F3FF U+200D U+1F3EB; desc:man teacher: dark skin tone; tags:dark skin tone | instructor | man | professor | teacher
code:U+1F469 U+200D U+1F3EB; desc:woman teacher; tags:instructor | professor | teacher | woman
code:U+1F469 U+1F3FB U+200D U+1F3EB; desc:woman teacher: light skin tone; tags:instructor | light skin tone | professor | teacher | woman
code:U+1F469 U+1F3FC U+200D U+1F3EB; desc:woman teacher: medium-light skin tone; tags:instructor | medium-light skin tone | professor | teacher | woman
code:U+1F469 U+1F3FD U+200D U+1F3EB; desc:woman teacher: medium skin tone; tags:instructor | medium skin tone | professor | teacher | woman
code:U+1F469 U+1F3FE U+200D U+1F3EB; desc:woman teacher: medium-dark skin tone; tags:instructor | medium-dark skin tone | professor | teacher | woman
code:U+1F469 U+1F3FF U+200D U+1F3EB; desc:woman teacher: dark skin tone; tags:dark skin tone | instructor | professor | teacher | woman
code:U+1F468 U+200D U+2696 U+FE0F; desc:man judge; tags:justice | man | scales
code:U+1F468 U+1F3FB U+200D U+2696 U+FE0F; desc:man judge: light skin tone; tags:justice | light skin tone | man | scales
code:U+1F468 U+1F3FC U+200D U+2696 U+FE0F; desc:man judge: medium-light skin tone; tags:justice | man | medium-light skin tone | scales
code:U+1F468 U+1F3FD U+200D U+2696 U+FE0F; desc:man judge: medium skin tone; tags:justice | man | medium skin tone | scales
code:U+1F468 U+1F3FE U+200D U+2696 U+FE0F; desc:man judge: medium-dark skin tone; tags:justice | man | medium-dark skin tone | scales
code:U+1F468 U+1F3FF U+200D U+2696 U+FE0F; desc:man judge: dark skin tone; tags:dark skin tone | justice | man | scales
code:U+1F469 U+200D U+2696 U+FE0F; desc:woman judge; tags:judge | scales | woman
code:U+1F469 U+1F3FB U+200D U+2696 U+FE0F; desc:woman judge: light skin tone; tags:judge | light skin tone | scales | woman
code:U+1F469 U+1F3FC U+200D U+2696 U+FE0F; desc:woman judge: medium-light skin tone; tags:judge | medium-light skin tone | scales | woman
code:U+1F469 U+1F3FD U+200D U+2696 U+FE0F; desc:woman judge: medium skin tone; tags:judge | medium skin tone | scales | woman
code:U+1F469 U+1F3FE U+200D U+2696 U+FE0F; desc:woman judge: medium-dark skin tone; tags:judge | medium-dark skin tone | scales | woman
code:U+1F469 U+1F3FF U+200D U+2696 U+FE0F; desc:woman judge: dark skin tone; tags:dark skin tone | judge | scales | woman
code:U+1F468 U+200D U+1F33E; desc:man farmer; tags:farmer | gardener | man | rancher
code:U+1F468 U+1F3FB U+200D U+1F33E; desc:man farmer: light skin tone; tags:farmer | gardener | light skin tone | man | rancher
code:U+1F468 U+1F3FC U+200D U+1F33E; desc:man farmer: medium-light skin tone; tags:farmer | gardener | man | medium-light skin tone | rancher
code:U+1F468 U+1F3FD U+200D U+1F33E; desc:man farmer: medium skin tone; tags:farmer | gardener | man | medium skin tone | rancher
code:U+1F468 U+1F3FE U+200D U+1F33E; desc:man farmer: medium-dark skin tone; tags:farmer | gardener | man | medium-dark skin tone | rancher
code:U+1F468 U+1F3FF U+200D U+1F33E; desc:man farmer: dark skin tone; tags:dark skin tone | farmer | gardener | man | rancher
code:U+1F469 U+200D U+1F33E; desc:woman farmer; tags:farmer | gardener | rancher | woman
code:U+1F469 U+1F3FB U+200D U+1F33E; desc:woman farmer: light skin tone; tags:farmer | gardener | light skin tone | rancher | woman
code:U+1F469 U+1F3FC U+200D U+1F33E; desc:woman farmer: medium-light skin tone; tags:farmer | gardener | medium-light skin tone | rancher | woman
code:U+1F469 U+1F3FD U+200D U+1F33E; desc:woman farmer: medium skin tone; tags:farmer | gardener | medium skin tone | rancher | woman
code:U+1F469 U+1F3FE U+200D U+1F33E; desc:woman farmer: medium-dark skin tone; tags:farmer | gardener | medium-dark skin tone | rancher | woman
code:U+1F469 U+1F3FF U+200D U+1F33E; desc:woman farmer: dark skin tone; tags:dark skin tone | farmer | gardener | rancher | woman
code:U+1F468 U+200D U+1F373; desc:man cook; tags:chef | cook | man
